NRG Systems SymphoniePRO Desktop Application
Software Version:	3.16.0.24 (build built by CI server 2024-03-14)
Export Assembly Version:	1.0.0.139
Export version:	3
Generated:	2025-08-01 09:15:52
User:	AzureAD\JesusDelosSantosRAAS

Export Parameters
Site Number:	011509
Data Type:	Measurements
Start Date:	
End Date:	
Filters Applied:	False
Configuration: 

Site Properties
Site Description:	
Project:	
Tower:	
Location:	RAAS SOLAR
Coordinate System:	WGS84
Latitude:	18.4584150
Longitude:	-69.9564616
Elevation:	178
Time Zone:	UTC-4:00
Site Units:	SI

Logger History
Date:	2025-02-10 09:14:55
Model:	SymphoniePRO Logger (8206)
Serial Number:	820611509
Firmware:	3.4.10

Date:	2025-02-10 10:25:12
Model:	SymphoniePRO Logger (8206)
Serial Number:	820611509
Firmware:	3.4.12

Date:	2025-07-17 10:07:00
Model:	SymphoniePRO Logger (8206)
Serial Number:	820611509
Firmware:	3.4.14

iPack History
Date:	2025-02-10 09:14:55
Model:	None
Serial Number:	0
Firmware:	0

Date:	2025-02-10 10:22:15
Model:	IPACK_TYPE_LTE_G ()
Serial Number:	943400523
Firmware:	2.4.2

Date:	2025-02-10 10:25:12
Model:	None
Serial Number:	0
Firmware:	0

Date:	2025-02-10 12:06:00
Model:	IPACK_TYPE_LTE_G ()
Serial Number:	943400523
Firmware:	2.4.12

Date:	2025-02-10 16:03:49
Model:	None
Serial Number:	0
Firmware:	0

Date:	2025-02-11 00:00:00
Model:	IPACK_TYPE_LTE_G ()
Serial Number:	943400523
Firmware:	2.4.12

Date:	2025-02-18 12:48:27
Model:	None
Serial Number:	0
Firmware:	0

Date:	2025-07-16 10:58:16
Model:	IPACK_TYPE_LTE_G ()
Serial Number:	943400523
Firmware:	2.4.12

Date:	2025-07-16 10:58:38
Model:	None
Serial Number:	0
Firmware:	0

Date:	2025-07-16 12:06:55
Model:	IPACK_TYPE_LTE_G ()
Serial Number:	943400523
Firmware:	2.4.12

Date:	2025-07-16 12:10:49
Model:	None
Serial Number:	0
Firmware:	0

Date:	2025-07-17 00:00:00
